label,run,budget,regime,H,E,split,layer_from,layer_to,rank,subspace_overlap,chance_overlap,overlap_over_chance
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,14,63,1.0,0.0783,12.769
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,2,63,1.0,0.0784,12.759
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,3,63,0.1815,0.0784,2.315
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,4,63,0.1842,0.0784,2.35
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,5,63,0.1778,0.0784,2.269
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,6,63,0.1803,0.0784,2.301
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,7,63,0.1829,0.0784,2.334
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,8,63,0.187,0.0784,2.385
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,9,63,0.1808,0.0784,2.307
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,10,63,0.1872,0.0784,2.388
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,11,63,0.1811,0.0784,2.311
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,12,63,0.1825,0.0784,2.328
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,13,63,0.1813,0.0784,2.313
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,2,14,63,0.1778,0.0784,2.269
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,2,63,0.1815,0.0784,2.315
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,3,63,1.0,0.0784,12.759
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,4,63,0.2337,0.0784,2.981
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,5,63,0.2359,0.0784,3.01
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,6,63,0.238,0.0784,3.037
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,7,63,0.2372,0.0784,3.027
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,8,63,0.2443,0.0784,3.116
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,9,63,0.2357,0.0784,3.007
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,10,63,0.2342,0.0784,2.988
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,11,63,0.2327,0.0784,2.969
