run,layer,expert,out_l2_mean,sel_count,interm_max,interm_kurt,rlogit_mean,rlogit_std,rlogit_mean_res,rlogit_mean_nonres,gate_mean,gate_std
g1_moe,4,18,1.13946,5584,5.5,1.18758,-5.05538,1.19413,,,0.170421,0.112088
g1_moe,4,19,1.24409,5683,5.125,1.08075,-4.99156,1.10271,,,0.178485,0.109971
g1_moe,4,20,1.10858,6118,4.875,1.09316,-5.28594,1.32722,,,0.134481,0.0930307
g1_moe,4,21,0.885574,6172,4.3125,0.828732,-4.64454,0.997332,,,0.176174,0.107987
g1_moe,4,22,0.971164,5774,4.5,1.00377,-4.892,1.01582,,,0.165755,0.113818
g1_moe,4,23,1.10886,6355,4.9375,0.786041,-4.88111,1.22123,,,0.169213,0.109897
g1_moe,4,24,0.892478,6861,4.375,0.824991,-5.04126,1.17847,,,0.161631,0.0978886
g1_moe,4,25,1.08631,5811,4.5625,0.953637,-5.14775,1.27248,,,0.162581,0.108086
g1_moe,4,26,1.17996,6678,5.09375,0.93533,-4.99663,1.19234,,,0.133624,0.0917315
g1_moe,4,27,1.16731,5562,4.84375,0.764992,-4.80367,1.06419,,,0.135956,0.0876301
g1_moe,4,28,1.00203,5290,4.40625,0.904715,-4.85995,1.08115,,,0.217166,0.190031
g1_moe,4,29,1.06424,8175,4.90625,1.11289,-4.98311,1.33415,,,0.181576,0.0999815
g1_moe,4,30,0.861347,5662,3.875,0.870174,-5.08793,1.15065,,,0.224006,0.112439
g1_moe,4,31,1.04216,6611,4.9375,0.897242,-4.76528,1.04906,,,0.14013,0.0937197
g1_moe,4,32,1.07663,5589,5.0625,0.939477,-5.10421,1.21606,,,0.166127,0.120585
g1_moe,4,33,0.928111,6733,5.25,1.28763,-4.99013,1.18098,,,0.159896,0.0864504
g1_moe,4,34,0.952174,6111,4.75,0.886322,-5.11557,1.2548,,,0.152656,0.097526
g1_moe,4,35,1.18592,5929,4.75,0.837922,-5.1677,1.23847,,,0.167756,0.100974
g1_moe,4,36,0.950624,5982,4.3125,0.94816,-4.85127,1.12807,,,0.182833,0.110829
g1_moe,4,37,0.915247,5799,4.21875,0.632259,-5.14085,1.28651,,,0.145379,0.0960642
g1_moe,4,38,1.05136,6672,4.96875,0.900361,-5.04469,1.15777,,,0.171277,0.0941129
g1_moe,4,39,1.18543,5449,5,0.776507,-4.80603,1.0482,,,0.195075,0.129634
g1_moe,4,40,1.00342,5498,5.5625,1.17433,-5.50949,1.46026,,,0.165222,0.100848
g1_moe,4,41,0.991514,5605,5.40625,1.15476,-5.06008,1.13209,,,0.14903,0.10512
g1_moe,4,42,0.889871,6648,4.34375,0.865089,-4.84657,1.09842,,,0.146866,0.101015
g1_moe,4,43,0.907284,5419,4.625,1.11409,-5.02039,1.09152,,,0.169536,0.11446
g1_moe,4,44,0.958905,5882,5,1.03489,-5.2502,1.24141,,,0.155128,0.108315
g1_moe,4,45,0.911933,6626,5.0625,0.962024,-5.23018,1.36149,,,0.154301,0.0999506
g1_moe,4,46,1.06015,5958,4.875,1.14246,-5.07553,1.19268,,,0.150968,0.112893
g1_moe,4,47,1.06199,5751,4.96875,0.960683,-4.89414,1.03978,,,0.159377,0.105763
g1_moe,4,48,0.872343,7039,4.8125,0.779036,-4.42991,0.986978,,,0.201697,0.158068
g1_moe,4,49,1.00744,6727,4.125,0.730751,-4.82953,1.03193,,,0.153482,0.105697
g1_moe,4,50,0.889986,5901,5.3125,1.21967,-4.64296,0.967254,,,0.169126,0.125672
g1_moe,4,51,1.03722,5441,4.40625,0.800883,-4.66344,0.893957,,,0.162409,0.126742
g1_moe,4,52,1.15926,6308,4.84375,0.781608,-5.3243,1.33814,,,0.165069,0.0958232
g1_moe,4,53,0.911122,7460,4.25,0.703918,-4.82267,1.09871,,,0.141213,0.0912571
g1_moe,4,54,1.09946,5362,4.90625,0.817549,-4.99591,1.11295,,,0.152493,0.120051
g1_moe,4,55,1.07387,5609,4.65625,0.892749,-4.69371,0.945814,,,0.161956,0.12264
g1_moe,4,56,1.02368,6495,4.34375,0.74972,-5.01018,1.2471,,,0.159717,0.102137
g1_moe,4,57,1.036,7351,5.375,0.830745,-4.95037,1.29644,,,0.191523,0.119496
g1_moe,4,58,0.993074,5495,5.90625,1.14583,-5.29581,1.33958,,,0.177929,0.113403
g1_moe,4,59,1.04914,5663,5.40625,0.980393,-5.14763,1.19343,,,0.150094,0.113455
g1_moe,4,60,0.851586,6904,4.96875,1.82638,-5.14855,1.39884,,,0.244651,0.169936
g1_moe,4,61,0.939523,6394,4.4375,0.641448,-4.9372,1.18246,,,0.18027,0.111507
g1_moe,4,62,0.934178,5934,5.1875,1.2213,-5.09146,1.20952,,,0.1787,0.125118
g1_moe,4,63,0.956872,5394,5.75,0.71177,-4.892,1.01762,,,0.16372,0.133731
g1_moe,5,0,1.28229,5973,5.6875,0.848118,-4.88873,1.03836,,,0.12463,0.0779223
g1_moe,5,1,1.28328,7630,4.5625,0.832061,-4.91942,1.16312,,,0.146159,0.108599
g1_moe,5,2,1.3484,5817,5.5,0.844283,-5.0945,1.17574,,,0.167618,0.114649
g1_moe,5,3,1.26691,5525,5.3125,0.988519,-5.07742,1.14368,,,0.184325,0.121041
g1_moe,5,4,1.43512,5756,5.46875,0.942213,-5.16468,1.12169,,,0.170554,0.125894
g1_moe,5,5,1.23342,5557,4.78125,0.917782,-5.13263,1.16124,,,0.195913,0.134319
g1_moe,5,6,1.18068,5440,5.28125,0.782481,-5.01267,1.04532,,,0.136222,0.0933189
g1_moe,5,7,1.18215,5793,5.15625,0.78236,-5.22147,1.31071,,,0.189082,0.134298
g1_moe,5,8,1.48517,6078,5.34375,1.21291,-4.90016,1.03206,,,0.184595,0.112712
