run,iteration,train_lm_loss,final_test_ce,seed
flame512_g3_moe,250,5.286608E+00,,1234
flame512_g3_moe,255,5.278717E+00,,1234
flame512_g3_moe,260,5.246106E+00,,1234
flame512_g3_moe,265,5.200571E+00,,1234
flame512_g3_moe,270,5.196383E+00,,1234
flame512_g3_moe,275,5.185706E+00,,1234
flame512_g3_moe,280,5.169713E+00,,1234
flame512_g3_moe,285,5.139848E+00,,1234
flame512_g3_moe,290,5.134742E+00,,1234
flame512_g3_moe,295,5.126724E+00,,1234
flame512_g3_moe,300,5.101480E+00,,1234
flame512_g3_moe,305,5.103025E+00,,1234
flame512_g3_moe,310,5.087349E+00,,1234
flame512_g3_moe,315,5.056074E+00,,1234
flame512_g3_moe,320,5.021924E+00,,1234
flame512_g3_moe,325,5.017516E+00,,1234
flame512_g3_moe,330,5.006338E+00,,1234
flame512_g3_moe,335,4.996921E+00,,1234
flame512_g3_moe,340,4.975174E+00,,1234
flame512_g3_moe,345,4.980739E+00,,1234
flame512_g3_moe,350,4.962060E+00,,1234
flame512_g3_moe,355,4.942200E+00,,1234
flame512_g3_moe,360,4.927990E+00,,1234
flame512_g3_moe,365,4.910691E+00,,1234
flame512_g3_moe,370,4.895714E+00,,1234
flame512_g3_moe,375,4.892908E+00,,1234
flame512_g3_moe,380,4.878135E+00,,1234
flame512_g3_moe,385,4.860165E+00,,1234
flame512_g3_moe,390,4.860179E+00,,1234
flame512_g3_moe,395,4.843964E+00,,1234
flame512_g3_moe,400,4.826202E+00,,1234
flame512_g3_moe,405,4.828517E+00,,1234
flame512_g3_moe,410,4.816910E+00,,1234
flame512_g3_moe,415,4.791137E+00,,1234
flame512_g3_moe,420,4.774340E+00,,1234
flame512_g3_moe,425,4.762622E+00,,1234
flame512_g3_moe,430,4.758912E+00,,1234
flame512_g3_moe,435,4.754069E+00,,1234
flame512_g3_moe,440,4.755790E+00,,1234
flame512_g3_moe,445,4.741215E+00,,1234
flame512_g3_moe,450,4.721148E+00,,1234
flame512_g3_moe,455,4.705714E+00,,1234
flame512_g3_moe,460,4.713299E+00,,1234
flame512_g3_moe,465,4.711743E+00,,1234
flame512_g3_moe,470,4.697675E+00,,1234
flame512_g3_moe,475,4.677383E+00,,1234
flame512_g3_moe,480,4.663002E+00,,1234
flame512_g3_moe,485,4.670372E+00,,1234
flame512_g3_moe,490,4.648948E+00,,1234
flame512_g3_moe,495,4.640942E+00,,1234
flame512_g3_moe,500,4.618851E+00,,1234
flame512_g3_moe,505,4.620516E+00,,1234
flame512_g3_moe,510,4.619772E+00,,1234
flame512_g3_moe,515,4.619485E+00,,1234
flame512_g3_moe,520,4.598996E+00,,1234
flame512_g3_moe,525,4.591046E+00,,1234
flame512_g3_moe,530,4.567226E+00,,1234
flame512_g3_moe,535,4.566062E+00,,1234
